Record Number,PNVL,KNDS,MANR,KHAG,BEPR,SWDV,NEU,JNJ,SNPD,VSH,MNKD,GV,CMBR,TKNG,CLA,CHF,GTBN,VDLR,SVE,CTGN,RRD,DKRD,SNRDH,MSDH,CSMTH
122,,,,,,,,,,,7453,2024,1633,1248,1243,1935,1669,2651,2037,1776,1035,1280,677,1108,1252
123,0,3277,1910,2905,2337,2397,1406,2485,1870,1162,7452,2026,1632,1248,1243,1936,1668,2652,2037,1776,1033,1280,678,1108,1255
124,,,,,,,,,,,,,,,,,,,2061,1776,1033,1282,677,1110,1250
125,0,3279,1909,2905,2333,2401,1402,2488,1869,1163,7451,2024,1633,1248,1241,1936,1666,2652,2037,1776,1034,1280,677,1108,1251
126,0,3276,1912,2903,2333,2401,1402,2489,1868,1163,7451,2026,1633,1246,1243,1935,1665,2653,2040,1775,1034,1281,679,1105,1255
127,,,,,,2408,1402,2488,1869,1160,7452,2026,1634,1246,1244,1934,1668,2651,2038,1775,1035,1279,680,1105,1255
128,0,3275,1912,2904,2334,2401,1401,2488,1869,1161,7452,2026,1633,1248,1242,1934,1667,2631,,,,,,,
129,0,3275,1910,2900,2331,2397,1400,2486,1864,1161,7441,2019,1633,1245,1241,1930,1665,2645,2033,1772,1032,1278,679,1105,1252
130,,,,,,2397,1403,2483,1865,1162,7438,2021,1632,1244,1243,1931,1664,2646,2034,1775,1030,1278,681,1102,1249
131,0,3272,1909,2900,2331,2396,1401,2485,1866,1161,7435,2021,1633,1246,1240,1932,1663,2645,2035,1773,1031,1276,680,1104,1249
132,0,3274,1906,2900,2333,2393,1402,2486,1863,1162,7439,2018,1632,1247,1240,1932,1664,2645,2035,1770,1033,1277,678,1104,1250
133,,,,,,,,,,,7439,2018,1632,1247,1239,1933,1667,2644,2028,1774,1033,1277,674,1107,1250
134,0,3277,1907,2900,2330,2399,1393,2477,1863,1157,7439,2013,1631,1246,1240,1932,1663,2647,2034,1773,1033,1276,678,1107,1247
