Train Number,Train Code,Halts
TL 45,"95617
","CSMT, BY, DR, CLA, GC, BND, TNA, DW, DI, KYN"
BL 41,"95241
","CSMT, BY, DR, CLA, GC, MLND, TNA, KLVA, DI, KYN"
K 109,"95735
","CSMT, BY, DR, CLA, GC, BND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
S 35,"95131
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
TL 47,"95619
","CSMT, BY, DR, CLA, VK, MLND, TNA, MBQ, DI, KYN"
DK 7,"95737
","DR, CLA, GC, MLND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
T 109,"95913
","CSMT, DR, VK, BND, MLND, TNA"
BL 43,95243 ,"CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
N 29,"95419
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
BL 45,95245 ,"CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
DA 5,95329 ,"DR, CLA, GC, BND, TNA, DI, KYN"
K 117,"95739
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
TL 49,"95621
","CSMT, BY, DR, CLA, VK, MLND, TNA, DI, KYN"
A 49,"95331
","CSMT, BY, DR, CLA, GC, BND, TNA, DW, DI, KYN"
TL 51,"95623
","CSMT, BY, DR, CLA, GC, TNA, DI, KYN"
S 37,"95133
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
AN 27,95517 ,"CSMT, BY, DR, CLA, GC, MLND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
DT 3,"95915
","DR, CLA, GC, MLND, TNA"
KP 11,"95011
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
N 31,"95421
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
A 55,"95333
","CSMT, BY, DR, CLA, GC, MLND, TNA, DW, DI, KYN"
A 59,95335,"BY, DR, CLA, GC, TNA, DI, KYN"
S 39,"95135
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
K 129,"95741
","CSMT, BY, DR, CLA, GC, VK, KJRD, BND, NHU, MLND, TNA, KLVA, MBQ, DW, KOPR, DI, THK, KYN"
KP 13,"95013
","CSMT, BY, DR, CLA, GC, BND, TNA, DI, KYN"
DK9,95743,"DR, CLA, GC, MLND, TNA, DI, KYN"
BL 57,"95247
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
N 35,"95423
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
KP 17,"95015
","CSMT, BY, DR, CLA, GC, MLND, TNA, DI, KYN"
T 10,"95902
","TNA, MLND, GC, CLA, DR, BY, CSMT"
S 8,"95102
","KYN, DI, TNA, MLND, GC, CLA, MTN, DR, PR, BY, CSMT"
DL 4,"95802
","DI, TNA, BND, GC, CLA, DR, BY, CSMT"
KP 2,"95002
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
K 12,"95702
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
S 10,"95104
","KYN, DI, DW, TNA, MLND, VK, GC, CLA, DR, BY, CSMT"
BL 8,"95202
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
N 6,"95402
","KYN, DI, DW, TNA, BND, GC, CLA, DR, BY, CSMT"
K 18,"95704
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 12,"95106
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
A 12,"95302
","KYN, DI, TNA, VK, CLA, DR, BY, CSMT"
KP 4,"95004
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
TL 14,"95602
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
DK 2,"95706
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, BND, GC, CLA, DR"
T 28,"95904
","TNA, MLND, VK, CLA, DR, BY, CSMT"
A 14,"95304
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
S 14,"95108
","KYN, DI, TNA, MLND, VK, CLA, DR, BY, CSMT"
K 24,"95708
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, MLND, VK, CLA, DR, BY, CSMT"
T 32,"95906
","TNA, MLND, VK, CLA, DR, BY, CSMT"
A 16,"95306
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
AN 6,"95502
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 16,"95110
","KYN, DI, TNA, BND, GC, CLA, MTN, DR, BY, CSMT"
N 8,"95404
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
DL 10,"95804
","DI, KOPR, DW, MBQ, KLVA, TNA, BND, GC, CLA, DR, BY, CSMT"
A 18,"95308
","KYN, DI, TNA, MLND, VK, CLA, DR, BY, CSMT"
K 30,"95710
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 10,"95204
","KYN, DI, TNA, MLND, VK, GC, CLA, DR, BY, CSMT"
K 34,"95712
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
N 10,"95406
","KYN, DI, DW, TNA, MLND, VK, CLA, DR, BY, CSMT"
A 20,"95310
","KYN, DI, KLVA, TNA, BND, GC, CLA, DR, BY, CSMT"
T 42,"95908
","TNA, MLND, GC, CLA, DR, BY, CSMT"
S 18,"95112
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
K 38,"95714
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
K 36,"95716
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, MLND, VK, GC, CLA, DR, BY, CSMT"
A 22,"95312
","KYN, DI, DW, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 12,"95206
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
AN 8,"95504
","KYN, DI, MBQ, TNA, BND, GC, CLA, DR, BY, CSMT"
K 40,"95718
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 20,"95114
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
TL 20,"95604
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, BND, GC, CLA, DR, BY, CSMT"
T 54,"95910
","TNA, MLND, GC, CLA, DR, BY, CSMT"
N 12,"95408
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, MLND, GC, CLA, DR, BY, CSMT"
DK 4,"95720
","KYN, DI, TNA, GC, CLA, DR"
BL 16,"95208
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
K 46,"95722
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, MLND, VK, CLA, DR, BY, CSMT"
KP 6,"95006
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
DK 6,"95724
","KYN, DI, TNA, GC, CLA, DR"
A 24,"95314
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
T 66,"95912
","TNA, MLND, GC, CLA, DR, BY, CSMT"
A 26,"95316
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
A 28,95346,"KYN, DI, TNA, GC, CLA, DR, BY"
S 22,"95116
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
TL 24,"95606
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 20,"95210
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
DK 8,"95726
","KYN, DI, DW, TNA, GC, CLA, DR"
N 14,"95410
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 24,"95118
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
K 54,"95728
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
DA 2,"95318
","KYN, DI, TNA, MLND, GC, CLA, DR"
S 26,"95120
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
N 16,"95412
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
BL 30,"95212
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
DBL 2,"95214
","KYN, DI, TNA, GC, CLA, DR"
S 28,"95122
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 30,"95124
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
N 18,"95414
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
K 64,"95730
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 32,"95216
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 32,"95126
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
K 70,"95732
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
DBL 4,"95218
","KYN, DI, TNA, GC, CLA, DR"
BL 34,"95220
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
A 42,"95320
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
T 84,"95914
","TNA, GC, CLA, DR, BY, CSMT"
N 20,"95416
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
S 34,"95128
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
A 44,"95322
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
KP 8,"95008
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 36,"95222
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
A 46,"95324
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
AN 16,"95506
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 38,"95224
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
N 22,"95418
","KYN, DI, DW, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 40,"95226
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
TL 48,"95608
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 36,"95130
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
AN 18,"95508
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
DK 10,"95734
","KYN, DI, TNA, GC, CLA, DR"
A 48,"95326
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 42,"95228
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
K 92,"95736
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
N 24,"95420
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
S 38,"95132
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
DA 4,"95328
","KYN, DI, TNA, BND, GC, CLA, DR"
TL 50,"95610
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 44,"95230
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
AN 20,"95510
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 46,"95232
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
TL 52,"95612
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
K 96,"95738
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
N 26,"95422
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 48,"95234
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
K 102,"95740
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
A 50,"95330
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
KP 10,"95010
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
TL 54,"95614
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
A 52,"95332
","KYN, DI, TNA, MLND, VK, CLA, DR, BY, CSMT"
N 28,"95424
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
DA 6,"95334
","KYN, DI, TNA, GC, CLA, DR"
K 108,"95742
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
S 40,"95134
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
AN 22,"95512
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
K 110,"95744
","KYN, THK, DI, KOPR, DW, MBQ, KLVA, TNA, MLND, VK, CLA, DR, BY, CSMT"
BL 50,"95236
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
DA 8,"95336
","KYN, DI, TNA, MLND, GC, CLA, DR"
TL 56,"95616
","KYN, DI, TNA, MLND, VK, CLA, DR, BY, CSMT"
S 42,"95136
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 52,"95238
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
KP 12,"95012
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
DA 10,"95338
","KYN, DI, DW, TNA, MLND, VK, CLA, DR"
N 30,"95426
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
S 44,"95138
","KYN, DI, TNA, VK, GC, CLA, DR, BY, CSMT"
AN 26,"95514
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
BL 54,"95240
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
A 56,"95340
","KYN, DI, TNA, BND, GC, CLA, DR, BY, CSMT"
BL 56,"95242
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 46,"95140
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
